Part Number,Product Name,Description,Price 2025,Price 2024,Category,Subcategory,Product Line,Model Info,Parent Assembly,Vendor
1024836,6' wheel axle (MX3),,1.05,0.95,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2010877,Nylon Roller 1 1/4 X 3/8 X 3/4,,1.45,0.95,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1001122,Push ring (for nylon roller),,0.20,0.15,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1002718,Top guide repair (models M20/24/R026/33),,5.05,3.60,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1002711,Lower track bearing,,8.30,8.15,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1002339,Lower track bearing repair ' (bolt 'on),,137.35,94.40,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1001123,Extrusion clips,,3.85,2.70,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1000851,Drive rivet 3/16' ( concertina stage ),,0.70,0.55,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1033347,"6"" Incandescent strip light",,26.30,18.60,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2110569,"6"" LED strip light",,41.35,36.40,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1038689,"6"" black aisle light cover",,21.70,16.85,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1038119,"12"" Incandescent strip light",,60.00,46.70,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2152009,"Gap closures 5.5"" x 20"" (rubber) use w/ bench seats (22"", 24"" & 26"")",,81.90,60.25,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2152013,"Gap closures 5.5"" x 23"" (rubber) use w/o bench seats (22"", 24"" & 26"")",,89.45,65.45,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2152017,"Gap closures 5.5"" x 27"" (rubber) use w/ bench seats (30"", 32"" & 33"")",,104.35,76.45,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2152008,"Gap closures 5.5"" x 48"" (rubber)",,149.95,110.80,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2152025,"Gap closures 5.5"" x 29"" (rubber) use on 32"" row",,122.15,90.00,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2152026,"Gap closures 5.5"" x 30"" (rubber) use on 33"" row",,122.15,90.00,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2152027,"Gap closures 5.5"" x 31"" (rubber) use on 34"" row",,122.15,90.00,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2152028,"Gap closures 5.5"" x 32"" (rubber) use on 35"" row",,122.15,90.00,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2152029,"Gap closures 5.5"" x 33"" (rubber) use on 36"" row",,125.05,92.00,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1002245,M20/24 track coverters,,10.20,7.30,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1016641,RO26 track converters,,8.40,7.65,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1008540,Bolt,,0.45,0.35,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,MS 3/8x3/4 BH (with 3/8 hex nut & shkpf washer),,Hussey
1000746,Nut,,0.05,0.05,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,MS 3/8x3/4 BH (with 3/8 hex nut & shkpf washer),,Hussey
1000798,Washer,,0.15,0.15,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,MS 3/8x3/4 BH (with 3/8 hex nut & shkpf washer),,Hussey
1002077,Tier catch RH,,13.55,9.55,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1002078,Tier catch LH,,13.55,9.20,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1024176,1st tier catch RH,,165.05,115.85,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1024175,1st tier catch LH,,214.35,150.00,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1002010,High tier catch RH,,58.55,41.00,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1002011,High tier catch LH,,58.55,40.75,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1002075,Auto stop bar RH,,32.60,23.35,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1002076,Auto stop bar LH,,32.60,23.35,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1001061,Skirt board hinge,,10.40,8.10,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1002254,Outriggers,,53.15,36.35,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1011786,Aisle step hinge,,13.90,10.80,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1020138,20'-0 blank nose R026 & MX3,,274.65,164.75,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1039415,20'-0 Sq. rear riser R026,,291.50,211.25,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1002953,20'-0 'Z' riser MX3,,227.75,166.60,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2102542,20'-0 Kick Plate M2000,,1324.25,928.75,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2108810,"No Climbing on bleacher signs 8"" x 12"" (for wall)",,62.70,22.15,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2108811,"No Climbing on bleacher signs 2"" x 7"" (for nose)",,13.20,10.25,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2110005,"No Climbing on bleacher signs 5"" x 7"" (for seats)",,22.80,17.75,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
2117358,1st tier brake assembly,,172.00,131.40,Rollout Parts,MISC. ROLLOUT PARTS,119- Rollout TP Pricing,,,Hussey
1005106,3 Amp circuit breaker,,23.80,18.55,Power & Electrical,ELECTRICAL PARTS,119- Rollout TP Pricing,,,Hussey
