Product Name,Product Description,Part #,Price2025,Price2024,Price2023,Price2022,Quantity,Spec 1,Spec 2,Spec 3,Color (picklist?)
6” wheel axle (MX3),,1024836,$1.05,$0.95,$0.95,$0.95,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
Nylon Roller 1 1/4 X 3/8 X 3/4,,2010877,$1.45,$0.95,$0.95,$0.95,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
Push ring (for nylon roller),,1001122,$0.20,$0.15,$0.15,$0.15,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
Top guide repair (models M20/24/R026/33),,1002718,$5.05,$3.60,$3.15,$2.70,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
Lower track bearing ,,1002711,$8.30,$8.15,$8.15,$8.15,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
Lower track bearing repair – (bolt –on),,1002339,$137.35,$94.40,$82.30,$70.40,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
Extrusion clips,,1001123,$3.85,$2.70,$1.55,$1.55,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
Drive rivet 3/16” ( concertina stage ) ,,1000851,$0.70,$0.55,$0.55,$0.55,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"6"" Incandescent strip light",,1033347,$26.30,$18.60,$18.60,$15.65,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"6"" LED strip light",,2110569,$41.35,$36.40,$36.40,$36.40,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"6"" black aisle light cover",,1038689,$21.70,$16.85,$13.60,$13.60,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"12"" Incandescent strip light",,1038119,$60.00,$46.70,$46.70,$46.70,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"Gap closures 5.5"" x 20"" (rubber) use w/ bench seats  (22"", 24"" & 26"")",,2152009,$81.90,$60.25,$53.65,$37.10,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"Gap closures 5.5"" x 23"" (rubber) use w/o bench seats (22"", 24"" & 26"")",,2152013,$89.45,$65.45,$57.40,$47.25,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"Gap closures 5.5"" x 27"" (rubber) use w/ bench seats (30"", 32"" & 33"")",,2152017,$104.35,$76.45,$67.30,$58.85,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"Gap closures 5.5"" x 48"" (rubber)",,2152008,$149.95,$110.80,$99.70,$80.00,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"Gap closures 5.5"" x 29"" (rubber) use on 32"" row",,2152025,$122.15,$90.00,$80.50,$69.90,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"Gap closures 5.5"" x 30"" (rubber) use on 33"" row",,2152026,$122.15,$90.00,$80.50,$69.90,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"Gap closures 5.5"" x 31"" (rubber) use on 34"" row",,2152027,$122.15,$90.00,$80.50,$69.90,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"Gap closures 5.5"" x 32"" (rubber) use on 35"" row ",,2152028,$122.15,$90.00,$80.50,$69.90,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"Gap closures 5.5"" x 33"" (rubber) use on 36"" row",,2152029,$125.05,$92.00,$82.05,$71.35,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
M20/24 track coverters,,1002245,$10.20,$7.30,$6.55,$5.70,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
RO26 track converters,,1016641,$8.40,$7.65,$7.65,$7.65,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
        Bolt,,1008540,$0.45,$0.35,$0.35,$0.35,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,MS 3/8x3/4 BH (with 3/8 hex nut & shkpf washer),
        Nut,,1000746,$0.05,$0.05,$0.05,$0.05,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,MS 3/8x3/4 BH (with 3/8 hex nut & shkpf washer),
        Washer,,1000798,$0.15,$0.15,$0.15,$0.15,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,MS 3/8x3/4 BH (with 3/8 hex nut & shkpf washer),
Tier catch RH,,1002077,$13.55,$9.55,$8.40,$8.10,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
Tier catch LH,,1002078,$13.55,$9.20,$8.10,$7.85,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
1st tier catch RH,,1024176,$165.05,$115.85,$100.20,$84.35,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
1st tier catch LH,,1024175,$214.35,$150.00,$129.75,$109.00,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
High tier catch RH,,1002010,$58.55,$41.00,$35.80,$32.05,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
High tier catch LH,,1002011,$58.55,$40.75,$35.50,$31.80,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
Auto stop bar RH,,1002075,$32.60,$23.35,$17.65,$16.60,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
Auto stop bar LH,,1002076,$32.60,$23.35,$18.45,$18.45,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
Skirt board hinge,,1001061,$10.40,$8.10,$8.10,$6.00,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
Outriggers,,1002254,$53.15,$36.35,$32.65,$32.30,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
Aisle step hinge,,1011786,$13.90,$10.80,$10.80,$10.80,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
20’-0 blank nose R026 & MX3,,1020138,$274.65,$164.75,$132.85,$132.85,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
20’-0 Sq. rear riser R026,,1039415,$291.50,$211.25,$172.75,$171.75,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
20’-0 “Z” riser MX3,,1002953,$227.75,$166.60,$139.55,$139.55,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
20’-0 Kick Plate M2000,,2102542,"$1,324.25",$928.75,$715.30,$666.25,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"No Climbing on bleacher signs 8"" x 12"" (for wall)",,2108810,$62.70,$22.15,$22.15,$22.15,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"No Climbing on bleacher signs 2"" x 7"" (for nose)",,2108811,$13.20,$10.25,$10.25,$10.25,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
"No Climbing on bleacher signs 5"" x 7"" (for seats)",,2110005,$22.80,$17.75,$17.75,$15.10,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
1st tier brake assembly,,2117358,$172.00,$131.40,$126.30,$126.30,,119- Rollout TP Pricing,MISC. ROLLOUT PARTS,,
3 Amp circuit breaker,,1005106,$23.80,$18.55,$18.55,$18.55,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
7 Amp circuit breaker,,1004292,$24.00,$18.70,$17.80,$17.80,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
20 Amp circuit breakers,,1004322,$23.80,$18.55,$18.55,$18.55,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
3 PH circuit break 7.5A,,1033049,$560.80,$436.20,$272.80,$272.80,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
BZ-2RW80 limit switch,,1001006,$76.45,$59.45,$59.45,$59.45,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Plastic Enclosure for limit switch,,1001007,$19.75,$15.40,$13.05,$13.05,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Key switch 800T J631B,,1000921,$792.90,$584.55,$552.90,$494.40,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
P & S Pendant plug,,1023315,$94.95,$65.80,$65.80,$60.75,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
P & S Receptacle,,1023316,$50.60,$39.35,$39.35,$39.35,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
P & S Pendant control ,,2059115,$853.65,$540.75,$452.05,$432.20,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Hubble plug,,2059108,$147.10,$163.50,$163.50,$163.50,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Hubble pendant control ,,2059114,$905.80,$576.50,$491.20,$475.35,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
Hubble receptacle,,2069209,$126.95,$96.50,$84.75,$84.75,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
"P&S cover (Included:cover, socket, circuit breaker, Override sw.) ",,2119309,$236.40,$173.65,$147.40,$147.40,,119- Rollout TP Pricing,ELECTRICAL PARTS,,
